cik,sub_name,parent_name,first_seen,first_filing,time_out,batch_size,cross_cik,label,match_jaccard,wikidata_company,wikidata_acquirer
0001411537,nai media international inc,ruby newco llc,2007-10-17,2007-10-17,Between 2007-10-17 and 2008-03-20,1362,1,0,0.0,,
0000019353,fashion bug of virginia beach inc,charming shoppes inc,1995-04-24,1995-04-24,Between 1995-04-24 and 1996-05-03,2196,0,0,0.0,,
0001679049,cabo hellas limited,osg international inc,2016-07-15,2016-07-15,Between 2016-07-15 and 2016-09-15,75,1,0,0.0,,
0000045876,metserv holdings pty limited,harsco corp,1996-03-26,1994-03-29,Between 1996-03-26 and 1997-03-27,41,0,0,0.0,,
0001060391,greenridge reclamation llc,republic services inc,2010-04-30,1998-06-29,Between 2010-04-30 and 2011-02-18,450,0,0,0.0,,
0000875357,fgbsa securities brokerage (oklahoma) inc,bok financial corp et al,1996-11-18,1996-11-18,Between 1996-11-18 and 1997-03-27,9,0,0,0.0,,
0000064978,abello sa,merck & co inc,1996-03-20,1994-03-23,Between 1996-03-20 and 1997-03-19,30,0,0,0.0,,
0000034088,paxon polymer company lp ii,exxon corp,1997-03-13,1994-03-11,Between 1997-03-13 and 1998-03-18,12,0,0,0.0,,
0000029669,moore technology and trading ca,rr donnelley & sons co,2005-03-14,1994-03-28,Between 2005-03-14 and 2006-03-02,54,1,0,0.0,,
0000896622,perfect valois uk limited,aptargroup inc,1997-03-21,1997-03-21,Between 1997-03-21 and 1998-03-27,55,0,0,0.0,,
0000831001,citicorp mercantil participacoes e investimentos ltda,citigroup inc,2010-02-26,1994-03-31,Between 2010-02-26 and 2011-02-25,14,0,0,0.0,,
0000019617,chemical bank & trust (bahamas),j p morgan chase & co,1994-03-25,1994-03-25,Between 1994-03-25 and 1996-03-20,65,0,0,0.0,,
0000733590,5330 peterson lane apartments lp,transcontinental realty investors inc,2011-03-31,2004-03-30,Between 2011-03-31 and 2012-04-03,26,0,0,0.0,,
0000890523,patwil homes inc,degeorge financial corp,1998-03-31,1998-03-31,Active as of 1998-03-31,6,0,0,0.0,,
0000314890,precision fitting and valve inc,wicor inc,2000-03-30,1994-03-30,Active as of 2000-03-30,9,0,0,0.0,,
0001424182,broadstone bk virginia llc,broadstone net lease inc,2017-04-24,2017-04-24,Between 2017-04-24 and 2017-06-01,140,0,0,0.0,,
0000106484,manitowoc fsg mexico srl de cv,westran corp,2016-08-17,2016-08-17,Active as of 2016-08-17,77,1,0,0.0,,
0001915657,navajo pipeline co inc,hf sinclair corp,2024-02-21,2022-09-12,Active as of 2024-02-21,1,0,0,0.0,,
0000866734,britesmile international limited,britesmile inc,2000-06-29,1999-07-02,Between 2000-06-29 and 2001-03-30,1,0,0,0.0,,
0001403528,oaktree opportunities fund xb holdings (cayman) lp,oaktree capital group llc,2023-03-21,2011-08-01,Active as of 2023-03-21,138,0,0,0.0,,
0000909992,the beard company,beard co ok,1997-03-31,1997-03-31,Between 1997-03-31 and 1998-03-31,11,0,0,0.0,,
0001084827,netiq ireland limited,netiq corp,2002-09-26,1999-05-26,Between 2002-09-26 and 2003-09-09,23,1,0,0.0,,
0000783280,bremnerduke mary shiels development lp,duke realty corp,2010-03-01,1996-02-21,Between 2010-03-01 and 2011-02-25,6,1,0,0.0,,
0000106535,weyerhaeuser sales europe inc,weyerhaeuser co,2013-02-19,2002-02-28,Between 2013-02-19 and 2014-02-18,7,0,0,0.0,,
0000766704,wmpt sacramento properties llc,welltower inc,2007-03-01,1995-02-14,Between 2007-03-01 and 2008-02-28,128,1,0,0.0,,
0001019508,auto one acceptance corporation,golden state bancorp inc,1999-03-29,1999-03-29,Between 1999-03-29 and 2001-10-26,60,1,0,0.0,,
0000100790,union carbide subsidiary c inc,union carbide corp new,1998-03-20,1995-03-10,Between 1998-03-20 and 1999-03-25,8,1,0,0.0,,
0000023666,playtex dominicana sa,lee sara corp,1996-09-25,1994-09-30,Between 1996-09-25 and 1997-09-23,122,0,0,0.0,,
0001020265,sabre deutschland services gmbh (germany),sabre group holdings inc,1996-08-08,1996-08-08,Between 1996-08-08 and 1997-05-14,37,0,0,0.0,,
0001094831,fenics limited,bgc partners inc,2016-02-29,2001-03-06,Between 2016-02-29 and 2017-02-28,133,1,0,0.0,,
0001136869,zimmer new zealand limited,zimmer biomet holdings inc,2002-03-13,2001-06-18,Between 2002-03-13 and 2003-03-12,5,1,0,0.0,,
0000829323,varick & spring (msb) inc,inuvo inc,2012-03-29,2005-05-02,Between 2012-03-29 and 2017-02-16,9,1,0,0.0,,
0000071691,the athletic media company uk ltd,new york times co,2022-02-23,1994-03-21,Between 2022-02-23 and 2023-02-28,10,0,0,0.0,,
0000894887,design rx llc,thrift drug inc,2015-11-25,2004-11-24,Active as of 2015-11-25,21,1,0,0.0,,
0000095521,white bear lake 2015 llc,supervalu inc,2016-04-26,1994-05-26,Between 2016-04-26 and 2017-04-25,8,0,0,0.0,,
0001010607,thornbladellc,fortress group inc,1999-03-30,1997-03-31,Between 1999-03-30 and 2000-03-30,18,0,0,0.0,,
0000217346,textron uk pension trustee limited,textron inc,2016-02-24,1996-03-14,Between 2016-02-24 and 2017-02-22,19,0,0,0.0,,
0001981792,howard hughes management co llc,howard hughes holdings inc,2024-02-27,2024-02-27,Active as of 2024-02-27,306,1,0,0.0,,
0000036047,citizens title company,first american corp,1996-03-29,1996-03-29,Between 1996-03-29 and 1997-03-31,116,0,0,0.0,,
0001058083,ims ab,ims health inc,2010-02-17,1998-06-12,Active as of 2010-02-17,3,1,0,0.0,,
0001639315,ohi asset (ga) cordele llc,ohi healthcare properties limited partnership,2018-02-23,2018-02-23,Between 2018-02-23 and 2019-02-26,135,1,0,0.0,,
0001289790,gwe solar storage hi 1 llc,macquarie infrastructure corp,2018-02-21,2004-06-07,Between 2018-02-21 and 2019-02-20,148,1,0,0.0,,
0001088384,nexcom inc,tritel pcs inc,2001-02-14,2001-02-14,Active as of 2001-02-14,15,1,0,0.0,,
0000065011,kptv kpdx broadcasting corporation,meredith corp,2014-08-27,1994-09-26,Between 2014-08-27 and 2015-08-26,2,1,0,0.0,,
0001537667,sir minot llc,select income reit,2015-02-19,2012-02-27,Between 2015-02-19 and 2016-02-16,75,1,0,0.0,,
0001049442,berry plastics asia pacific limited,pliant corp,2016-05-02,1997-11-12,Between 2016-05-02 and 2021-09-02,170,1,0,0.0,,
0000013239,quimica borden argentina sa,hexion specialty chemicals inc,1999-03-31,1994-10-05,Between 1999-03-31 and 2004-03-29,44,1,0,0.0,,
0001254699,qvc sfpo sarl,qvc inc,2023-03-01,2012-10-19,Between 2023-03-01 and 2024-02-28,1,0,0,0.0,,
0001492633,the nielsen company (us) llc,nielsen nv,2010-07-08,2010-07-08,Between 2010-07-08 and 2011-03-01,80,1,0,0.0,,
0000097745,phenom world innovations bv,thermo fisher scientific inc,2018-02-28,1994-03-09,Between 2018-02-28 and 2019-02-27,117,0,0,0.0,,
0001305399,first madison capital corp nevada corp,first business financial services inc,2004-11-17,2004-11-17,Active as of 2004-11-17,6,0,0,0.0,,
0001070764,inland southeast highwood ii llc,inland retail real estate trust inc,2005-03-15,2001-01-31,Active as of 2005-03-15,295,0,0,0.0,,
0001387603,dct dulles phase ii llc,riverside investors llc,2014-04-10,2014-04-10,Active as of 2014-04-10,402,1,0,0.0,,
0000736260,harbourvest partners iii lp,hancock john financial services inc,2001-03-29,1999-11-22,Between 2001-03-29 and 2002-03-26,45,0,0,0.0,,
0001308161,new upstairs productions limited,news corp,2007-10-17,2005-09-01,Between 2007-10-17 and 2008-08-13,46,1,0,0.0,,
0000795403,watts insulation nv,watts industries inc,2012-02-28,1994-09-26,Between 2012-02-28 and 2013-02-27,18,0,0,0.0,,
0001595262,ims health sprl,ims health holdings inc,2014-01-02,2014-01-02,Between 2014-01-02 and 2014-03-24,153,1,0,0.0,,
0000920760,lmc 85 south union holdings llc,lennar corp new,2015-01-23,1997-02-11,Between 2015-01-23 and 2016-01-22,62,0,0,0.0,,
0001674168,diamond resorts poipu development llc,hilton grand vacations inc,2022-03-01,2016-11-14,Between 2022-03-01 and 2023-03-01,208,1,0,0.0,,
0001467858,gm daewoo auto & technology company,general motors co,2009-08-07,2009-08-07,Between 2009-08-07 and 2010-04-07,340,0,0,0.0,,
0001403528,oaktree epf iii (holdings) lp,oaktree capital group llc,2023-03-21,2011-08-01,Active as of 2023-03-21,138,0,0,0.0,,
0001308161,news outdoor ukraine,news corp,2007-08-23,2005-09-01,Between 2007-08-23 and 2007-10-17,260,1,0,0.0,,
0000919482,jupiter holdings inc,travelers property casualty corp,2002-03-20,2002-03-20,Between 2002-03-20 and 2003-03-04,83,1,0,0.0,,
0001030179,1185943 ontario inc,med emerg international inc,2000-03-30,1997-05-08,Between 2000-03-30 and 2002-07-31,5,0,0,0.0,,
0000895655,madshus as,jarden corp,2008-02-25,1997-03-27,Between 2008-02-25 and 2009-02-23,94,1,0,0.0,,
0000078100,wind capital holdings llc,peco energy co,2011-02-10,1995-07-05,Between 2011-02-10 and 2012-02-09,83,1,0,0.0,,
0000926660,aimcowoodhollow lp,aimco properties lp,2003-03-25,1998-06-22,Between 2003-03-25 and 2004-03-15,1454,1,0,0.0,,
0001356991,kimball hill homes austin lp,kimball hill homes dallas lp,2006-05-03,2006-05-03,Active as of 2006-05-03,69,0,0,0.0,,
0000895421,morgan stanley capital management llc,morgan stanley dean witter & co,2003-02-19,1997-03-31,Between 2003-02-19 and 2004-02-25,95,0,0,0.0,,
0001403161,visa europe limited,visa inc,2016-11-15,2007-06-22,Between 2016-11-15 and 2017-11-17,1,0,0,0.0,,
0001099735,tribune television new orleans inc,gracenote inc,2016-03-24,2016-03-24,Active as of 2016-03-24,215,1,0,0.0,,
0001044612,amf bowling centers holdings,amf bowling inc,1998-03-27,1997-08-21,Between 1998-03-27 and 1998-11-05,22,1,0,0.0,,
0000026780,dana spicer industria e comercio autopecas ltda,dana corp,2013-02-21,1994-03-14,Between 2013-02-21 and 2014-02-21,2,0,0,0.0,,
0001503828,arc dgkgcmo001 llc,american realty capital trust iii inc,2012-04-18,2012-04-18,Active as of 2012-04-18,95,0,0,0.0,,
0001035678,new revlon argentina sa,revlon worldwide parent corp,2001-04-02,1997-03-17,Between 2001-04-02 and 2002-03-26,8,1,0,0.0,,
0000806085,freedom gp inc,lehman brothers holdings inc,1994-04-05,1994-04-05,Between 1994-04-05 and 1995-02-28,14,1,0,0.0,,
0001481792,world color real estate corp,quadgraphics inc,2011-03-24,2010-03-05,Between 2011-03-24 and 2012-02-29,77,0,0,0.0,,
0000856288,colorado hospice llc,helian health group inc,2015-09-17,2014-12-15,Active as of 2015-09-17,159,1,0,0.0,,
0001065246,hifn (hangzhou) information technologies co ltd,hifn inc,2007-11-14,2003-12-16,Between 2007-11-14 and 2008-11-14,2,1,0,0.0,,
0000911147,blue bells country club ltd,century casinos inc co,2007-03-16,1997-03-25,Between 2007-03-16 and 2008-03-17,9,0,0,0.0,,
0001048685,metalico aluminum recovery inc,metalico inc,2004-10-25,2004-10-25,Between 2004-10-25 and 2004-12-20,16,0,0,0.0,,
0000926660,heritage parkmra inc,aimco properties lp,2004-03-15,1998-06-22,Between 2004-03-15 and 2005-03-14,325,1,0,0.0,,
0000924642,balva financial corp,applied digital solutions inc,2001-04-10,1997-03-31,Between 2001-04-10 and 2002-04-01,30,0,0,0.0,,
0001813756,77 sleeper street tenant llc,wework inc,2021-10-26,2021-10-26,Between 2021-10-26 and 2023-03-29,763,0,0,0.0,,
0000009466,tmi nqf llc,baltimore gas & electric co,2013-02-22,1994-03-30,Between 2013-02-22 and 2014-02-14,391,1,0,0.0,,
0001578845,watson laboratories inc (salt lake city),actavis plc,2014-02-25,2013-06-18,Between 2014-02-25 and 2015-02-18,274,1,0,0.0,,
0000818762,new home mortgage specialists lp,3333 holding corp,2003-06-03,1994-06-29,Active as of 2003-06-03,62,1,0,0.0,,
0000078003,pfizer holdings netherlands bv,pfizer inc,2001-03-28,1994-03-25,Between 2001-03-28 and 2002-03-28,277,0,0,0.0,,
0000893670,hayes lemmerz werke gmbh,hayes lemmerz international inc,2000-04-18,1999-04-30,Between 2000-04-18 and 2001-05-01,38,1,0,0.0,,
0001164727,nvl (guinee) sarl,newmont corp de,2012-02-24,2002-03-27,Between 2012-02-24 and 2013-02-22,22,0,0,0.0,,
0001488139,kp leeward solar llc,ameresco inc,2021-03-02,2010-05-28,Between 2021-03-02 and 2022-03-01,158,0,0,0.0,,
0001809104,arinso luxembourg sarl,alight group inc,2021-07-12,2021-07-12,Between 2021-07-12 and 2022-03-10,81,0,0,0.0,,
0000891478,catmoll sl,banco santander sa,2008-12-19,2008-12-19,Active as of 2008-12-19,905,0,0,0.0,,
0001437107,raw inc,warner bros discovery inc,2015-02-19,2008-08-01,Between 2015-02-19 and 2016-02-18,60,0,0,0.0,,
0001494877,2334 lundy holding company llc,digital realty trust lp,2010-06-25,2010-06-25,Between 2010-06-25 and 2010-09-03,159,1,0,0.0,,
0001344154,everrad llc,emergency medical services corp,2010-02-19,2006-03-21,Between 2010-02-19 and 2011-02-18,6,1,0,0.0,,
0000018926,level 3 telecom of ohio llc,centurylink inc,2018-03-01,1994-03-17,Between 2018-03-01 and 2019-03-11,177,1,0,0.0,,
0000084792,rohmnova llc,rohm & haas co,2008-02-21,1996-03-22,Between 2008-02-21 and 2009-02-27,29,1,0,0.0,,
0001000229,core lab mexico holding bv,core laboratories n v,2000-03-09,2000-03-09,Between 2000-03-09 and 2001-03-15,126,0,0,0.0,,
0000874761,aes de rs xv llc,aes corporation,2021-02-25,1997-03-31,Between 2021-02-25 and 2022-02-28,414,1,0,0.0,,
0001160106,penn pharma group limited,lloyds banking group plc,2014-03-06,2014-03-06,Active as of 2014-03-06,1041,0,0,0.0,,
0000895126,chesapeake e&p holding corporation,chesapeake energy corp,2011-03-01,1997-10-14,Between 2011-03-01 and 2012-02-29,2,0,0,0.0,,
0001013871,nrg renew san llc,nrg energy inc,2014-09-10,1997-08-12,Between 2014-09-10 and 2014-12-11,306,1,0,0.0,,
0001084961,encore australia holdings i pty ltd,encore capital group inc,2016-02-24,1999-05-14,Between 2016-02-24 and 2017-02-23,71,0,0,0.0,,
0001420811,lancelot spv 01 llc,on deck capital inc,2017-03-02,2014-08-21,Between 2017-03-02 and 2018-03-02,11,0,0,0.0,,
0001793294,ppd development (hk) taiwan branch,ppd inc,2021-02-26,2020-01-16,Active as of 2021-02-26,22,0,0,0.0,,
0001632790,spectrum brands austria gmbh,energizer holdings inc,2019-11-19,2015-05-27,Between 2019-11-19 and 2020-11-17,50,1,0,0.0,,
0001053059,essex park catalina lp,essex portfolio lp,2017-02-24,1999-03-31,Between 2017-02-24 and 2018-02-22,16,1,0,0.0,,
0001283157,ftd uk holdings limited,ftd group inc,2006-09-13,2004-11-23,Between 2006-09-13 and 2007-09-05,11,0,0,0.0,,
0001759413,chengdu qingyang district meten english training school,meten international education group,2018-12-04,2018-12-04,Between 2018-12-04 and 2019-05-22,77,0,0,0.0,,
0001040475,somenor sa,oxford automotive inc,1999-06-29,1998-06-29,Between 1999-06-29 and 2000-06-20,4,0,0,0.0,,
0001061937,hmh norfolk lp,host hotels & resorts lp,2003-03-31,1999-03-31,Between 2003-03-31 and 2004-12-09,4,1,0,0.0,,
0001364479,hertz international treasury,hertz global holdings inc,2007-03-30,2007-03-30,Between 2007-03-30 and 2008-02-29,104,1,0,0.0,,
0000921365,merix nevada inc,merix corp,2005-08-10,1998-02-12,Between 2005-08-10 and 2007-08-14,4,0,0,0.0,,
0001013880,teleservices inc),teletech holdings inc,2001-03-30,1996-07-05,Between 2001-03-30 and 2002-04-01,42,0,0,0.0,,
0000902739,big green productions llc,nbcuniversal media llc,2011-05-13,2007-01-18,Between 2011-05-13 and 2013-02-21,771,1,0,0.0,,
0000883980,ebs rentals pty limited,first data corp,2006-02-24,1997-03-19,Between 2006-02-24 and 2007-02-23,122,1,0,0.0,,
0000217028,rorer gmbh,rhone poulenc rorer inc,1994-03-17,1994-03-17,Between 1994-03-17 and 1995-03-20,120,0,0,0.0,,
0000821130,carry phone inc,united states cellular corp,1997-03-21,1994-03-29,Between 1997-03-21 and 1998-03-27,174,1,0,0.0,,
0001023128,southeast ss llc,lithia motors inc,2023-02-24,1996-11-22,Between 2023-02-24 and 2024-02-23,41,0,0,0.0,,
0000205520,knight ridder leasing company,knight ridder inc,1996-03-20,1996-03-20,Between 1996-03-20 and 1997-03-10,91,0,0,0.0,,
0001659166,gilbarco afs drc sarl,fortive corp,2016-05-05,2016-05-05,Between 2016-05-05 and 2017-02-28,267,0,0,0.0,,
0000812233,industria de materias primas sa,owens illinois group inc,2005-03-16,2002-04-05,Between 2005-03-16 and 2005-04-08,68,1,0,0.0,,
0000819913,cyr insurance management company*,hallmark financial services inc,2014-03-12,2003-03-27,Active as of 2014-03-12,22,0,0,0.0,,
0000864749,trimble technologies ireland limited,trimble navigation ltd ca,2020-02-28,1998-03-30,Between 2020-02-28 and 2021-02-26,18,0,0,0.0,,
0001468174,hyatt britannia corporation ltd,hyatt hotels corp,2009-08-05,2009-08-05,Between 2009-08-05 and 2010-02-25,271,0,0,0.0,,
0000924805,fka freedom finance cyprus limited,interunion financial corp,2020-07-14,1996-08-07,Active as of 2020-07-14,1,0,0,0.0,,
0001609989,blue pet products inc,blue buffalo pet products inc,2014-07-24,2014-07-24,Between 2014-07-24 and 2015-05-11,6,1,0,0.0,,
0000929351,lg productions canada ulc,lions gate entertainment corp cn,2011-05-31,2001-07-24,Between 2011-05-31 and 2012-05-30,41,0,0,0.0,,
0000093751,wendover financial services corporation,state street corp,1996-03-27,1994-03-30,Between 1996-03-27 and 1997-03-26,11,1,0,0.0,,
0000823533,owns 100% of twg warranty group inc,union security insurance co,2020-04-16,2020-04-16,Active as of 2020-04-16,245,0,0,0.0,,
0001002579,esa 0574 inc,extended stay america inc,1998-02-20,1996-05-09,Between 1998-02-20 and 1999-03-26,154,0,0,0.0,,
0000880229,bachman information systems gmbh,bachman information systems inc ma,1996-09-30,1996-09-30,Between 1996-09-30 and 1997-03-31,21,0,0,0.0,,
0001069202,kozon llc,lennox international inc,2001-03-27,1999-04-06,Between 2001-03-27 and 2002-04-01,202,0,0,0.0,,
0000801351,ccc ten corp,warnaco group inc de,2000-04-03,1998-04-03,Between 2000-04-03 and 2002-07-31,57,0,0,0.0,,
0001011006,yahoo japan corporation,yahoo inc,2002-03-15,1997-03-31,Between 2002-03-15 and 2003-03-21,19,0,0,0.0,,
0000016099,lubys restaurants partnership,lubys inc,2007-11-09,1996-11-26,Between 2007-11-09 and 2010-11-08,1,0,0,0.0,,
0001646972,safeway stores 44 inc,albertsons companies inc,2015-08-26,2015-08-26,Between 2015-08-26 and 2016-05-11,254,1,0,0.0,,
0000315293,alexander howden group (bermuda) ltd,aon plc,1998-03-31,1996-02-12,Between 1998-03-31 and 1999-03-29,675,0,0,0.0,,
0000922864,park lane associates partnership,apartment investment & management co,2007-03-01,1997-03-31,Between 2007-03-01 and 2008-02-29,84,1,0,0.0,,
0000038067,forest city bayside corp,forest city enterprises inc,2008-03-31,1997-04-30,Between 2008-03-31 and 2009-03-30,38,0,0,0.0,,
0000049146,hunt x acto inc,hunt manufacturing co,1994-02-24,1994-02-24,Between 1994-02-24 and 1998-02-27,5,0,0,0.0,,
0001792627,delivery santa fe srl,just eat takeawaycom nv,2021-03-25,2020-12-28,Active as of 2021-03-25,70,0,0,0.0,,
0000945800,abs tx lease owner gp llc,dominicks finer foods llc,2017-05-19,2017-05-19,Active as of 2017-05-19,256,1,0,0.0,,
0000315189,john deere credit group plc,deere & co,2001-01-16,1994-01-28,Between 2001-01-16 and 2001-12-21,24,0,0,0.0,,
0001494877,digital china llc,digital realty trust lp,2023-08-04,2010-06-25,Between 2023-08-04 and 2024-02-23,160,1,0,0.0,,
0000096223,national beef california lp,leucadia national corp,2012-02-27,1994-03-23,Between 2012-02-27 and 2013-02-25,4,1,0,0.0,,
0000012927,boeing operations international incorporated,boeing co,2003-02-27,2003-02-27,Between 2003-02-27 and 2004-03-05,283,0,0,0.0,,
0000930835,eastern sierra energy company,edison mission energy,2000-02-18,1997-03-31,Between 2000-02-18 and 2000-03-30,114,1,0,0.0,,
0001411494,aph iii (sub) ltd,apollo global management llc,2022-02-25,2011-03-21,Between 2022-02-25 and 2023-03-01,186,1,0,0.0,,
0001451505,intermarine servicos petroliferos ltda,transocean ltd,2010-02-24,2009-02-26,Between 2010-02-24 and 2011-02-28,49,0,0,0.0,,
0001324245,sachontrol prã¼fdiensheistungs gmbh,solera holdings llc,2015-08-31,2007-02-12,Active as of 2015-08-31,35,0,0,0.0,,
0001048911,federal express international (netherlands) cv,fedex corp,2016-07-18,1998-08-14,Between 2016-07-18 and 2017-07-17,25,0,0,0.0,,
0000811925,westlake investments ltd,cineplex odeon corp can,1997-03-20,1997-03-20,Between 1997-03-20 and 1998-03-23,25,1,0,0.0,,
0000045012,halliburton tesel limited,halliburton co,2002-03-12,1994-03-11,Between 2002-03-12 and 2003-03-28,73,0,0,0.0,,
0000904978,reservoir real estate holdings llc,sun healthcare group inc,2009-01-09,1997-03-28,Between 2009-01-09 and 2009-03-04,96,1,0,0.0,,
0001444570,axcan pharma (u&v) inc,axcan intermediate holdings inc,2008-10-07,2008-10-07,Between 2008-10-07 and 2009-12-17,31,1,0,0.0,,
0000106040,sandisk china limited,western digital corp,2016-08-29,1996-09-18,Between 2016-08-29 and 2016-12-22,87,1,0,0.0,,
0000062709,jltpcs holdings pte ltd,marsh & mclennan companies inc,2020-02-20,1995-03-28,Between 2020-02-20 and 2021-02-17,234,0,0,0.0,,
0001142028,mount prospect plaza (mlp) partnership,mills limited partnership,2004-04-19,2004-04-19,Between 2004-04-19 and 2005-03-31,261,1,0,0.0,,
0001496264,hudson 1918 eighth reit llc,hudson pacific properties lp,2021-02-22,2015-08-14,Between 2021-02-22 and 2022-02-18,8,1,0,0.0,,
0000070858,dsp merrill lynch capital limited,bank of america corp de,2009-02-27,1994-03-30,Between 2009-02-27 and 2010-02-26,1204,1,0,0.0,,
0000047580,90210 corporation,hilton hotels corp,2000-03-30,1994-03-29,Between 2000-03-30 and 2001-03-28,176,0,0,0.0,,
0000732713,cingular wireless of austin partnership,bellsouth corp,2003-02-28,1995-03-08,Between 2003-02-28 and 2005-03-08,141,1,0,0.0,,
0000731766,arkansas homecare of hot springs llc,unitedhealth group inc,2024-02-28,1995-03-28,Active as of 2024-02-28,1040,1,0,0.0,,
0001888447,explorer llc,excelerate energy inc,2022-01-21,2022-01-21,Between 2022-01-21 and 2022-03-16,45,0,0,0.0,,
0001012441,the nations health plan inc,united payors & united providers inc,1998-03-17,1997-03-31,Between 1998-03-17 and 1999-03-15,3,0,0,0.0,,
0000078003,ce commercial investments cv,pfizer inc,2011-02-28,1994-03-25,Between 2011-02-28 and 2012-02-28,53,0,0,0.0,,
0000898293,jabil silver creek inc (us) formerly known as wolfe engineering inc,jabil circuit inc,2018-10-19,1997-10-16,Between 2018-10-19 and 2020-10-22,19,0,0,0.0,,
0000201533,cms taurus holding company llc,consumers energy co,2001-03-23,1994-03-18,Between 2001-03-23 and 2006-02-24,95,1,0,0.0,,
0001838615,alvarium fiduciaries (uk) ltd,alvarium tiedemann holdings inc,2023-01-09,2022-03-18,Between 2023-01-09 and 2024-03-22,30,0,0,0.0,,
0001207074,virtusa consulting & services inc,virtusa corp,2019-05-24,2007-04-06,Between 2019-05-24 and 2020-05-28,7,0,0,0.0,,
0000878130,corporate express callcenter4 services inc,corporate express inc,1998-05-01,1996-06-14,Between 1998-05-01 and 1999-04-27,28,0,0,0.0,,
0001599617,wilson united kingdom limited,now inc,2015-02-25,2014-04-08,Between 2015-02-25 and 2016-02-23,7,0,0,0.0,,
0001101723,memorial hermann endoscopy center north freeway llc (dba memorial hermann endoscopy center north l,united surgical partners international inc,2015-02-26,2001-02-12,Active as of 2015-02-26,52,0,0,0.0,,
0001355459,sungard availability services (belgium),sungard workflow solutions llc,2007-03-09,2006-04-19,Active as of 2007-03-09,151,1,0,0.0,,
0001330017,shanghai zhengyuan advertisement co ltd,focus media holding ltd,2011-06-20,2005-06-14,Between 2011-06-20 and 2011-06-29,26,0,0,0.0,,
0001003410,new world partners joint venture number two,duke realty limited partnership,2001-03-30,1996-02-29,Between 2001-03-30 and 2002-03-26,8,1,0,0.0,,
0001291806,swebus vã¤sterã¥s ab,concordia bus finland oy ab,2004-05-28,2004-05-28,Active as of 2004-05-28,27,0,0,0.0,,
0001013844,colonial properties services inc,colonial realty limited partnership,2004-03-15,1996-05-13,Between 2004-03-15 and 2005-03-16,6,1,0,0.0,,
0000053669,johnson controls automotive electronics sa,johnson controls inc,2002-12-16,1995-12-20,Between 2002-12-16 and 2003-12-04,24,0,0,0.0,,
0000092344,7 inc (e) puerto rico,southland corp,1998-03-27,1994-03-30,Between 1998-03-27 and 1999-03-26,4,0,0,0.0,,
0000845750,project,wnc california housing tax credits lp,2000-06-29,2000-06-29,Active as of 2000-06-29,3,0,0,0.0,,
0000853273,open environment uk ltd,borland software corp,1998-03-31,1998-03-31,Between 1998-03-31 and 1999-03-31,17,0,0,0.0,,
0000915389,eastman chemical singapore pte ltd,eastman chemical co,1997-03-13,1997-03-13,Between 1997-03-13 and 1998-03-06,31,0,0,0.0,,
0000075234,stone products corporation,owens corning,1998-03-13,1994-03-29,Between 1998-03-13 and 1999-03-15,26,1,0,0.0,,
0000746598,qdpt,brady w h co,2006-10-06,1995-10-13,Between 2006-10-06 and 2007-09-28,40,0,0,0.0,,
0000891103,usa station group partnership of dallas,iacinteractivecorp,2001-04-02,1997-04-14,Between 2001-04-02 and 2002-04-01,222,0,0,0.0,,
0000791269,chrysler management services gmbh (austria)(automotive),chrysler corp de,1998-01-23,1994-02-04,Active as of 1998-01-23,44,0,0,0.0,,
0001777921,shanghai avepoint software technology corporation limited,apex technology acquisition corp,2021-07-07,2021-07-07,Between 2021-07-07 and 2023-03-31,21,0,0,0.0,,
0000070858,pakistan industrial credit & investment corporation,bank of america corp de,1999-03-22,1994-03-30,Between 1999-03-22 and 2000-03-20,1011,0,0,0.0,,
0000745113,howell crude oil company,howell corp de,1995-03-20,1995-03-20,Between 1995-03-20 and 1996-03-20,7,0,0,0.0,,
0000004285,british alcan primary and recycling limited,alcan aluminium ltd new,1998-03-31,1998-03-31,Between 1998-03-31 and 1999-03-30,150,0,0,0.0,,
0001166691,tci cablevision of sierra vista ii inc,comcast corp,2003-03-20,2003-03-20,Between 2003-03-20 and 2004-03-12,1101,1,0,0.0,,
0001355459,renaissance software uk limited,sungard workflow solutions llc,2007-03-09,2006-04-19,Active as of 2007-03-09,151,1,0,0.0,,
0001411494,epe acquisition holdings llc,apollo global management llc,2013-03-01,2011-03-21,Between 2013-03-01 and 2015-02-27,89,1,0,0.0,,
0000944763,encore medical gp inc,encore medical corp,2002-03-29,1998-03-30,Between 2002-03-29 and 2003-03-28,5,1,0,0.0,,
0000029915,ucmg llc,dow chemical co de,2002-03-20,1995-03-23,Between 2002-03-20 and 2003-02-28,237,0,0,0.0,,
0000884614,gastrans erfurt gesellschaft mbh,ugi corp pa,1999-12-23,1996-09-17,Between 1999-12-23 and 2000-12-22,19,0,0,0.0,,
0000935419,rci entertainment (texas) inc,rci hospitality holdings inc,1996-12-30,1996-12-30,Between 1996-12-30 and 1998-12-28,4,0,0,0.0,,
0000929008,rahi systems korea llc,wesco international inc,2023-02-21,1998-03-10,Between 2023-02-21 and 2024-02-20,48,0,0,0.0,,
0001364757,chaparral energy llc,chaparral energy llc,2008-01-03,2008-01-03,Active as of 2008-01-03,8,1,0,0.0,,
0000069488,elrick industries inc,myers industries inc,1996-03-25,1996-03-25,Between 1996-03-25 and 1997-03-21,18,0,0,0.0,,
